mpfr 3.1.1.p2-1
mtdev 1.1.3-1
nano 2.2.6-2
ncurses 5.9-3
netcfg 3.0-1
nettle 2.5-1
notification-daemon 0.7.6-1
nspr 4.9.3-1
nss 3.14-1
nss-myhostname 0.3-3
ocaml 4.00.1-1
opencore-amr 0.1.3-1
openjpeg 1.5.0-1
openssh 6.1p1-3
openssl 1.0.1.c-1
openssl098 0.9.8.x-1
orc 0.4.16-1
p11-kit 0.13-1
packer 20121113-1
pacman 4.0.3-3
pacman-mirrorlist 20120908-1
pam 1.1.6-1
pambase 20120701-1
pango 1.32.1-1
patch 2.7.1-1
pciutils 3.1.10-1
pcmciautils 018-4
pcre 8.31-1
perl 5.16.2-1
perl-error 0.17018-1
perl-xml-parser 2.41-3
perl-xml-simple 2.20-1
pinentry 0.8.2-1
pixman 0.28.0-1
pkg-config 0.27.1-1
pm-quirks 0.20100619-2
pm-utils 1.4.1-5
polkit 0.107-4
poppler 0.20.5-1
poppler-data 0.4.5-1
poppler-qt 0.20.5-1
popt 1.16-5
ppl 1.0-1
ppp 2.4.5-5
procps-ng 3.3.5-1
psmisc 22.19-1
pth 2.0.7-4
pycharm-official-updates 2.7b122.790-1
pygobject2-devel 2.28.6-8
pygtk 2.24.0-3
python 3.3.0-1
python-dbus-common 1.1.1-2
python-distribute 0.6.29-1
python-pygments 1.5-3
python2 2.7.3-2
python2-cairo 1.10.0-1
python2-dbus 1.1.1-2
python2-distribute 0.6.29-1
python2-gobject2 2.28.6-8
python2-nose 1.2.1-2
python2-pygments 1.5-3
python2-virtualenv 1.8.2-1
qt 4.8.3-5
qtwebkit 2.2.2-1
randrproto 1.4.0-1
readline 6.2.004-1
recode 3.6-7
recordproto 1.14.2-1
reiserfsprogs 3.6.21-4
renderproto 0.11.1-2
rlwrap 0.37-2
rtmpdump 2.4-1
run-parts 4.3.4-1
schroedinger 1.0.11-1
scrnsaverproto 1.2.2-1
sdl 1.2.15-3
sdl_image 1.2.12-2
sed 4.2.1-4
shadow 4.1.5.1-1
shared-color-profiles 0.1.5-1
shared-mime-info 1.0-1
skype 4.0.0.8-3
slim 1.3.4-4
slim-themes 1.2.3-6
smbclient 3.6.9-1
speex 1.2rc1-2
spotify 0.8.4.103-1
sqlite 3.7.14.1-1
startup-notification 0.12-3
sudo 1.8.6.p3-1
sysfsutils 2.1.0-8
syslinux 4.06-1
systemd 195-2
systemd-sysvcompat 195-2
sysvinit-tools 2.88-9
t1lib 5.1.2-3
taglib 1.8-1
talloc 2.0.7-1
tango-icon-theme 0.8.90-7
tar 1.26-2
tdb 1.2.10-2
texinfo 4.13a-7
texlive-bin 2012.0-5
texlive-core 2012.26892-2
texlive-latexextra 2012.26807-1
texlive-subfiles 1.0-4
texmaker 3.5.2-4
thunar 1.4.0-4
thunar-archive-plugin 0.3.0-2
thunar-dropbox 0.2.0-1
thunar-media-tags-plugin 0.2.0-2
thunar-volman 0.8.0-1
ttf-dejavu 2.33-3
tumbler 0.1.25-1
tzdata 2012h-1
udisks2 2.0.0-1
unzip 6.0-6
upower 0.9.18-2
usbmuxd 1.0.8-1
usbutils 006-1
util-linux 2.22.1-2
v4l-utils 0.8.8-1
vi 1:050325-2
videoproto 2.3.1-2
vim 7.3.712-1
vim-runtime 7.3.712-1
vlc 2.0.4-3
vte 0.28.2-3
vte-common 0.34.2-1
wget 1.14-2
which 2.20-5
wireless_tools 29-7
wpa_actiond 1.3-1
wpa_supplicant 1.0-2
x264 20120705-1
xarchiver 0.5.2-5
xcb-proto 1.8-1
xcb-util 0.3.9-1
xcb-util-image 0.3.9-1
xcb-util-keysyms 0.3.9-1
xcb-util-wm 0.3.9-1
xchat 2.8.8-10
xdg-utils 1.1.0.git20121008-1
xextproto 7.2.1-1
xf86-input-evdev 2.7.3-2
xf86-input-synaptics 1.6.2-2
xf86-video-intel 2.20.12-1
xf86dgaproto 2.1-2
xf86vidmodeproto 2.3.1-2
xfconf 4.10.0-2
xfsprogs 3.1.8-2
xineramaproto 1.2.1-2
xkeyboard-config 2.7-1
xorg-bdftopcf 1.0.3-2
xorg-font-util 1.3.0-1
xorg-font-utils 7.6-3
xorg-fonts-alias 1.0.2-2
xorg-fonts-encodings 1.0.4-3
xorg-fonts-misc 1.0.1-2
xorg-iceauth 1.0.5-1
xorg-luit 1.1.1-1
xorg-mkfontdir 1.0.7-1
xorg-mkfontscale 1.1.0-1
xorg-server 1.13.0-4
xorg-server-common 1.13.0-4
xorg-server-utils 7.6-3
xorg-sessreg 1.0.7-1
xorg-setxkbmap 1.3.0-1
xorg-smproxy 1.0.5-1
xorg-utils 7.6-8
xorg-x11perf 1.5.4-1
xorg-xauth 1.0.7-1
xorg-xbacklight 1.2.0-1
xorg-xcmsdb 1.0.4-1
xorg-xcursorgen 1.0.5-1
xorg-xdpyinfo 1.3.0-1
xorg-xdriinfo 1.0.4-3
xorg-xev 1.2.0-1
xorg-xgamma 1.0.5-1
xorg-xhost 1.0.5-1
xorg-xinit 1.3.2-3
xorg-xinput 1.6.0-1
xorg-xkbcomp 1.2.4-1
xorg-xkbevd 1.1.3-1
xorg-xkbutils 1.0.3-3
xorg-xkill 1.0.3-3
xorg-xlsatoms 1.1.1-1
xorg-xlsclients 1.1.2-2
xorg-xmessage 1.0.3-2
xorg-xmodmap 1.0.7-1
xorg-xpr 1.0.4-1
xorg-xprop 1.2.1-1
xorg-xrandr 1.3.5-1
xorg-xrdb 1.0.9-2
xorg-xrefresh 1.0.4-3
xorg-xset 1.2.2-1
xorg-xsetroot 1.1.0-3
xorg-xvinfo 1.1.1-3
xorg-xwd 1.0.5-2
xorg-xwininfo 1.1.2-1
xorg-xwud 1.0.4-1
xproto 7.0.23-1
xsel 1.2.0-5
xvidcore 1.3.2-1
xz 5.0.4-1
zlib 1.2.7-1
zsh 5.0.0-2
zvbi 0.2.33-4
zziplib 0.13.62-1
